,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,wsp,Unkn,1,,21.00,21.00,0.000,,,,0.00000,72.0,
,B01,SYBR,wsp,Unkn,1,,20.65,20.65,0.000,,,,0.00000,72.0,
,C01,SYBR,wsp,Unkn,1,,20.49,20.49,0.000,,,,0.00000,72.0,
,D01,SYBR,wsp,Unkn,2,,23.08,23.08,0.000,,,,0.00000,72.0,
,E01,SYBR,wsp,Unkn,2,,22.64,22.64,0.000,,,,0.00000,72.0,
,F01,SYBR,wsp,Unkn,2,,22.84,22.84,0.000,,,,0.00000,72.0,
,G01,SYBR,wsp,Unkn,3,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H01,SYBR,wsp,Unkn,3,,25.39,25.39,0.000,,,,0.00000,72.0,
,A02,SYBR,wsp,Unkn,3,,35.47,35.47,0.000,,,,0.00000,72.0,
,B02,SYBR,wsp,Unkn,4,,21.23,21.23,0.000,,,,0.00000,72.0,
,C02,SYBR,wsp,Unkn,4,,20.98,20.98,0.000,,,,0.00000,72.0,
,D02,SYBR,wsp,Unkn,4,,20.88,20.88,0.000,,,,0.00000,72.0,
,E02,SYBR,wsp,Unkn,5,,18.89,18.89,0.000,,,,0.00000,72.0,
,F02,SYBR,wsp,Unkn,5,,19.12,19.12,0.000,,,,0.00000,72.0,
,G02,SYBR,wsp,Unkn,5,,19.05,19.05,0.000,,,,0.00000,72.0,
,H02,SYBR,wsp,Unkn,6,,23.52,23.52,0.000,,,,0.00000,72.0,
,A03,SYBR,wsp,Unkn,6,,23.20,23.20,0.000,,,,0.00000,72.0,
,B03,SYBR,wsp,Unkn,6,,23.43,23.43,0.000,,,,0.00000,72.0,
,C03,SYBR,wsp,Unkn,7,,26.42,26.42,0.000,,,,0.00000,72.0,
,D03,SYBR,wsp,Unkn,7,,26.13,26.13,0.000,,,,0.00000,72.0,
,E03,SYBR,wsp,Unkn,7,,26.16,26.16,0.000,,,,0.00000,72.0,
,F03,SYBR,wsp,Unkn,8,,23.35,23.35,0.000,,,,0.00000,72.0,
,G03,SYBR,wsp,Unkn,8,,23.25,23.25,0.000,,,,0.00000,72.0,
,H03,SYBR,wsp,Unkn,8,,23.64,23.64,0.000,,,,0.00000,72.0,
,A04,SYBR,wsp,Unkn,9,,24.00,24.00,0.000,,,,0.00000,72.0,
,B04,SYBR,wsp,Unkn,9,,24.23,24.23,0.000,,,,0.00000,72.0,
,C04,SYBR,wsp,Unkn,9,,24.08,24.08,0.000,,,,0.00000,72.0,
,D04,SYBR,wsp,Unkn,10,,26.55,26.55,0.000,,,,0.00000,72.0,
,E04,SYBR,wsp,Unkn,10,,26.31,26.31,0.000,,,,0.00000,72.0,
,F04,SYBR,wsp,Unkn,10,,26.21,26.21,0.000,,,,0.00000,72.0,
,G04,SYBR,wsp,Unkn,11,,22.04,22.04,0.000,,,,0.00000,72.0,
,H04,SYBR,wsp,Unkn,11,,22.07,22.07,0.000,,,,0.00000,72.0,
,A05,SYBR,wsp,Unkn,11,,21.77,21.77,0.000,,,,0.00000,72.0,
,B05,SYBR,wsp,Unkn,12,,22.33,22.33,0.000,,,,0.00000,72.0,
,C05,SYBR,wsp,Unkn,12,,22.02,22.02,0.000,,,,0.00000,72.0,
,D05,SYBR,wsp,Unkn,12,,21.75,21.75,0.000,,,,0.00000,72.0,
,E05,SYBR,wsp,Unkn,13,,23.09,23.09,0.000,,,,0.00000,72.0,
,F05,SYBR,wsp,Unkn,13,,23.31,23.31,0.000,,,,0.00000,72.0,
,G05,SYBR,wsp,Unkn,13,,23.56,23.56,0.000,,,,0.00000,72.0,
,H05,SYBR,wsp,Unkn,14,,22.53,22.53,0.000,,,,0.00000,72.0,
,A06,SYBR,wsp,Unkn,14,,22.77,22.77,0.000,,,,0.00000,72.0,
,B06,SYBR,wsp,Unkn,14,,22.46,22.46,0.000,,,,0.00000,72.0,
,C06,SYBR,wsp,Unkn,15,,22.91,22.91,0.000,,,,0.00000,72.0,
,D06,SYBR,wsp,Unkn,15,,22.37,22.37,0.000,,,,0.00000,72.0,
,E06,SYBR,wsp,Unkn,15,,22.64,22.64,0.000,,,,0.00000,72.0,
,F06,SYBR,wsp,Neg Ctrl,H2O,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G06,SYBR,wsp,Neg Ctrl,H2O,,,0.00,0.000,,,0.00000,0.00000,72.0,
,A07,SYBR,RpL32,Unkn,1,,19.97,19.97,0.000,,,,0.00000,72.0,
,B07,SYBR,RpL32,Unkn,1,,19.81,19.81,0.000,,,,0.00000,72.0,
,C07,SYBR,RpL32,Unkn,1,,19.70,19.70,0.000,,,,0.00000,72.0,
,D07,SYBR,RpL32,Unkn,2,,22.09,22.09,0.000,,,,0.00000,72.0,
,E07,SYBR,RpL32,Unkn,2,,21.97,21.97,0.000,,,,0.00000,72.0,
,F07,SYBR,RpL32,Unkn,2,,22.06,22.06,0.000,,,,0.00000,72.0,
,G07,SYBR,RpL32,Unkn,3,,21.54,21.54,0.000,,,,0.00000,72.0,
,H07,SYBR,RpL32,Unkn,3,,21.53,21.53,0.000,,,,0.00000,72.0,
,A08,SYBR,RpL32,Unkn,3,,21.33,21.33,0.000,,,,0.00000,72.0,
,B08,SYBR,RpL32,Unkn,4,,20.84,20.84,0.000,,,,0.00000,72.0,
