elfa
ctrl
Run Well Sample Gene Population Ct
run_1 A1 sample_6 sod1 test 2.31139439172799
run_1 A2 sample_4 igf1 test 21.7450269870938
run_1 A3 sample_5 igf1 ctrl 25.9618358525025
run_1 A4 H20 elfa NA NA
run_1 A5 NA NA NA NA
run_1 A6 sample_5 elfa ctrl 23.2767185273327
run_1 A7 sample_2 hsp70 test 9.9858963045387
run_1 A8 sample_3 hsp70 ctrl 30.0537666709754
run_1 A9 sample_6 elfa test 21.871616907093
run_1 A10 sample_9 hsp70 test 10.0590196165059
run_1 A11 sample_8 elfa ctrl 23.7382114898789
run_1 A12 sample_1 igf1 ctrl 23.3572692587428
run_1 B1 NA NA NA NA
run_1 B2 sample_9 elfa test 23.133109255272
run_1 B3 sample_3 sod1 ctrl 7.92917217165863
run_1 B4 sample_8 igf1 ctrl 22.0599621109108
run_1 B5 NA NA NA NA
run_1 B6 sample_8 sod1 ctrl 9.15106479336507
run_1 B7 NA NA NA NA
run_1 B8 H20 hsp70 NA NA
run_1 B9 sample_9 elfa test 21.8866074773636
run_1 B10 sample_8 elfa ctrl 22.6539587256471
run_1 B11 sample_1 hsp70 ctrl 26.3003867021231
run_1 B12 H20 elfa NA NA
run_1 C1 sample_5 hsp70 ctrl 32.0102128482026
run_1 C2 sample_7 igf1 ctrl 22.479890329408
run_1 C3 sample_3 igf1 ctrl 21.8065030134452
run_1 C4 sample_6 hsp70 test 12.8245473793353
run_1 C5 sample_5 sod1 ctrl 6.01649244853565
run_1 C6 sample_5 igf1 ctrl 23.9004548134136
run_1 C7 sample_2 igf1 test 23.4138124181509
run_1 C8 sample_1 elfa ctrl 22.0392195791991
run_1 C9 sample_5 sod1 ctrl 9.75414149279241
run_1 C10 sample_4 sod1 test 2.79423524159967
run_1 C11 NA NA NA NA
run_1 C12 H20 sod1 NA NA
run_1 D1 sample_7 hsp70 ctrl 34.3748800127207
run_1 D2 H20 sod1 NA NA
run_1 D3 sample_1 sod1 ctrl 9.07818812404118
run_1 D4 sample_3 hsp70 ctrl 29.4605162735121
run_1 D5 sample_10 elfa test 20.7089265377751
run_1 D6 sample_7 elfa ctrl 24.8515415171636
run_1 D7 H20 igf1 NA NA
run_1 D8 sample_10 sod1 test 1.91099394806811
run_1 D9 sample_3 elfa ctrl 24.2136986409118
run_1 D10 sample_9 sod1 test 2.11257171693378
run_1 D11 H20 hsp70 NA NA
run_1 D12 sample_8 igf1 ctrl 20.2496465181339
run_1 E1 sample_10 sod1 test 1.75583773750601
run_1 E2 sample_6 elfa test 22.1959485312616
run_1 E3 H20 igf1 NA NA
run_1 E4 sample_9 sod1 test 2.73311632906482
run_1 E5 sample_7 hsp70 ctrl 35.9967379602206
run_1 E6 sample_10 igf1 test 22.0220708759192
run_1 E7 NA NA NA NA
run_1 E8 sample_2 elfa test 22.7221266181358
run_1 E9 sample_7 elfa ctrl 23.887414120571
run_1 E10 sample_9 hsp70 test 4.960191678124
run_1 E11 sample_4 elfa test 23.5002440289631
run_1 E12 sample_10 igf1 test 23.0413915976148
run_1 F1 sample_3 igf1 ctrl 22.1538209761726
run_1 F2 sample_3 elfa ctrl 22.6181399510884
run_1 F3 sample_9 igf1 test 22.9342328046378
run_1 F4 sample_4 hsp70 test 6.15151545457886
run_1 F5 sample_10 hsp70 test 6.13641194224037
run_1 F6 sample_6 hsp70 test 6.88225228945612
run_1 F7 sample_10 elfa test 23.657050354776
run_1 F8 sample_6 sod1 test 2.84115235315064
run_1 F9 sample_2 igf1 test 24.1055392614962
run_1 F10 sample_10 hsp70 test 8.58179249422192
run_1 F11 NA NA NA NA
run_1 F12 sample_8 sod1 ctrl 11.63231394408
run_1 G1 sample_2 sod1 test 2.38574893674174
run_1 G2 sample_2 sod1 test 2.51893215937364
run_1 G3 sample_9 igf1 test 22.6334250231672
run_1 G4 sample_5 elfa ctrl 22.8115628295648
run_1 G5 sample_4 igf1 test 20.9907654778192
run_1 G6 sample_1 sod1 ctrl 8.48802569823173
run_1 G7 sample_1 hsp70 ctrl 28.1407140229225
run_1 G8 sample_5 hsp70 ctrl 29.9992138110518
run_1 G9 sample_4 elfa test 22.2380528553364
run_1 G10 NA NA NA NA
run_1 G11 sample_6 igf1 test 22.8923595057329
