rpl32
1
Well Sample Gene Population Ct Run
A01 1 igf1 1 24 1
A02 1 rpl32 1 26 1
C01 2 igf1 1 26.5648 64
D01 2 igf1 1 27.4255 64
G01 2 rpl32 1 21.8917 64
H01 2 rpl32 1 24.4597 64
C01 15 igf1 5 25.2772 75
D03 15 rpl32 5 33.0988 75
G02 15 rpl32 5 24.9932 75
H01 15 igf1 5 24.0384 75
A02 16 igf1 5 24.531 75
D01 16 igf1 5 24.4986 75
E03 16 rpl32 5 24.6801 75
H02 16 rpl32 5 0 75
A03 17 rpl32 5 28.7105 75
B02 17 igf1 5 24.577 75
E01 17 igf1 5 24.7727 75
F03 17 rpl32 5 26.8715 75
B03 18 rpl32 5 29.717 75
C02 18 igf1 5 24.8759 75
F01 18 igf1 5 23.8636 75
G03 18 rpl32 5 29.2357 75
C03 19 rpl32 5 26.1353 75
D02 19 igf1 5 24.0041 75
G01 19 igf1 5 24.2145 75
H03 19 rpl32 5 28.7105 75
