rpl32
9
Well Sample Gene Population Ct Run
A01 1 igf1 9 24.9932 1
A02 1 rpl32 9 24.531 1
C01 1 rpl32 9 23.7177 78
F02 1 rpl32 9 23.3165 78
C01 2 igf1 9 26.5648 64
D01 2 igf1 9 27.4255 64
G01 2 rpl32 9 21.8917 64
H01 2 rpl32 9 24.4597 64
D01 2 rpl32 9 24.0094 78
G02 2 rpl32 9 23.6617 78
A03 20 rpl32 26 28.7105 76
A04 20 rpl32 26 28.8912 76
C01 20 igf1 26 25.2772 76
C02 20 igf1 26 24.8759 76
E03 20 rpl32 26 24.6801 76
G01 20 igf1 26 24.2145 76
B02 20 rpl32 26 23.6059 78
E03 20 rpl32 26 23.6059 78
B03 21 rpl32 26 29.717 76
B04 21 rpl32 26 26.1179 76
D01 21 igf1 26 24.4986 76
D02 21 igf1 26 24.0041 76
F03 21 rpl32 26 26.8715 76
H01 21 igf1 26 24.0384 76
C02 21 rpl32 26 23.7826 78
F03 21 rpl32 26 23.8086 78
A02 22 igf1 26 24.531 76
C03 22 rpl32 26 26.1353 76
C04 22 rpl32 26 30.7649 76
E01 22 igf1 26 24.7727 76
E02 22 igf1 26 25.1051 76
G03 22 rpl32 26 29.2357 76
D02 22 rpl32 26 23.9137 78
G03 22 rpl32 26 23.2335 78
B02 23 igf1 26 24.577 76
D03 23 rpl32 26 33.0988 76
D04 23 rpl32 26 26.8715 76
F01 23 igf1 26 23.8636 76
F02 23 igf1 26 24.1364 76
H03 23 rpl32 26 28.7105 76
E02 23 rpl32 26 23.9443 78
H03 23 rpl32 26 23.5876 78
C01 15 igf1 30 25.2772 75
D03 15 rpl32 30 33.0988 75
G02 15 rpl32 30 24.9932 75
H01 15 igf1 30 24.0384 75
E01 15 rpl32 30 23.7826 78
H02 15 rpl32 30 23.3142 78
A02 16 igf1 30 24.531 75
D01 16 igf1 30 24.4986 75
E03 16 rpl32 30 24.6801 75
H02 16 rpl32 30 0 75
A03 16 rpl32 30 23.4245 78
F01 16 rpl32 30 23.9137 78
A03 17 rpl32 30 28.7105 75
B02 17 igf1 30 24.577 75
E01 17 igf1 30 24.7727 75
F03 17 rpl32 30 26.8715 75
B03 17 rpl32 30 23.9443 78
G01 17 rpl32 30 24.0094 78
B03 18 rpl32 30 29.717 75
C02 18 igf1 30 24.8759 75
F01 18 igf1 30 23.8636 75
G03 18 rpl32 30 29.2357 75
C03 18 rpl32 30 23.7418 78
H01 18 rpl32 30 23.5437 78
C03 19 rpl32 30 26.1353 75
D02 19 igf1 30 24.0041 75
G01 19 igf1 30 24.2145 75
H03 19 rpl32 30 28.7105 75
A02 19 rpl32 30 23.3823 78
D03 19 rpl32 30 23.7598 78
