rpl32
1
Well Sample Gene Population Ct Run
A01 1 igf1 1 24.9932 1
A02 1 rpl32 1 24.531 1
C01 1 rpl32 1 23.7177 78
C04 1 sod1 1 30.158 78
F02 1 rpl32 1 23.3165 78
F05 1 sod1 1 29.1673 78
C01 2 igf1 1 26.5648 64
D01 2 igf1 1 27.4255 64
G01 2 rpl32 1 21.8917 64
H01 2 rpl32 1 24.4597 64
D01 2 rpl32 1 24.0094 78
D04 2 sod1 1 27.7503 78
G02 2 rpl32 1 23.6617 78
G05 2 sod1 1 28.8594 78
C01 15 igf1 5 25.2772 75
D03 15 rpl32 5 33.0988 75
G02 15 rpl32 5 24.9932 75
H01 15 igf1 5 24.0384 75
E01 15 rpl32 5 23.7826 78
E04 15 sod1 5 28.1271 78
H02 15 rpl32 5 23.3142 78
H05 15 sod1 5 30.158 78
A02 16 igf1 5 24.531 75
D01 16 igf1 5 24.4986 75
E03 16 rpl32 5 24.6801 75
H02 16 rpl32 5 0 75
A03 16 rpl32 5 23.4245 78
A06 16 sod1 5 29.0213 78
F01 16 rpl32 5 23.9137 78
F04 16 sod1 5 28.3377 78
A03 17 rpl32 5 28.7105 75
B02 17 igf1 5 24.577 75
E01 17 igf1 5 24.7727 75
F03 17 rpl32 5 26.8715 75
B03 17 rpl32 5 23.9443 78
B06 17 sod1 5 27.5533 78
G01 17 rpl32 5 24.0094 78
G04 17 sod1 5 28.7073 78
B03 18 rpl32 5 29.717 75
C02 18 igf1 5 24.8759 75
F01 18 igf1 5 23.8636 75
G03 18 rpl32 5 29.2357 75
C03 18 rpl32 5 23.7418 78
C06 18 sod1 5 30.6677 78
H01 18 rpl32 5 23.5437 78
H04 18 sod1 5 27.4454 78
C03 19 rpl32 5 26.1353 75
D02 19 igf1 5 24.0041 75
G01 19 igf1 5 24.2145 75
H03 19 rpl32 5 28.7105 75
A02 19 rpl32 5 23.3823 78
A05 19 sod1 5 28.8594 78
D03 19 rpl32 5 23.7598 78
D06 19 sod1 5 28.6538 78
A03 20 rpl32 6 28.7105 76
A04 20 rpl32 6 28.8912 76
C01 20 igf1 6 25.2772 76
C02 20 igf1 6 24.8759 76
E03 20 rpl32 6 24.6801 76
G01 20 igf1 6 24.2145 76
B02 20 rpl32 6 23.6059 78
B05 20 sod1 6 29.1673 78
E03 20 rpl32 6 23.6059 78
E06 20 sod1 6 27.7632 78
B03 21 rpl32 6 29.717 76
B04 21 rpl32 6 26.1179 76
D01 21 igf1 6 24.4986 76
D02 21 igf1 6 24.0041 76
F03 21 rpl32 6 26.8715 76
H01 21 igf1 6 24.0384 76
C02 21 rpl32 6 23.7826 78
C05 21 sod1 6 29.1673 78
F03 21 rpl32 6 23.8086 78
F06 21 sod1 6 28.5468 78
A02 22 igf1 6 24.531 76
C03 22 rpl32 6 26.1353 76
C04 22 rpl32 6 30.7649 76
E01 22 igf1 6 24.7727 76
E02 22 igf1 6 25.1051 76
G03 22 rpl32 6 29.2357 76
D02 22 rpl32 6 23.9137 78
D05 22 sod1 6 26.9139 78
G03 22 rpl32 6 23.2335 78
G06 22 sod1 6 27.4454 78
B02 23 igf1 6 24.577 76
D03 23 rpl32 6 33.0988 76
D04 23 rpl32 6 26.8715 76
F01 23 igf1 6 23.8636 76
F02 23 igf1 6 24.1364 76
H03 23 rpl32 6 28.7105 76
E02 23 rpl32 6 23.9443 78
E05 23 sod1 6 28.8111 78
H03 23 rpl32 6 23.5876 78
H06 23 sod1 6 28.6554 78
